央视TV,#genre#
澳门综艺,http://61.244.22.5/ch6/_definst_/hd_ch6.live/opuylist.m3u8#http://61.244.22.5/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳视澳门,http://61.244.22.4/ch1/ch1.live/playelist.m3u8#,http://61.244.22.5/ch1/_definst_/ch1.live/playlist.m3u8
澳视葡文,http://61.244.22.4/ch2/ch2.live/chunklist_w1632175875.m3u8
澳视葡语,http://61.244.22.4/ch2/ch2.live/chunklist_w861342563.m3u8

美国韩国日本,#genre#
美国中文电视,https://jpts.sinovision.net/livestream.m3u8
韩国-MBC综合频道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
Fox News Now,https://fox-foxnewsnow-vizio.amagi.tv/playlist.m3u8
日本-NHK华语,https://nhkw-zh-hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
日本全天新闻,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8

NewTV频道,#genre#
中国功夫,http://39.135.55.105:6610/PLTV/88888888/224/3221225896/index.m3u8?servicetype=1
军事评论,http://39.135.55.105:6610/PLTV/88888888/224/3221225890/index.m3u8?servicetype=1
军旅剧场,http://39.135.55.105:6610/PLTV/88888888/224/3221225887/index.m3u8?servicetype=1
古装剧场,http://39.135.55.105:6610/PLTV/88888888/224/3221225880/index.m3u8?servicetype=1
明星大片,http://39.135.55.105:6610/PLTV/88888888/224/3221225893/index.m3u8?servicetype=1
武搏世界,http://39.135.55.105:6610/PLTV/88888888/224/3221225895/index.m3u8?servicetype=1
潮妈辣婆,http://39.135.55.105:6610/PLTV/88888888/224/3221226107/index.m3u8?servicetype=1
精品体育,http://39.135.55.105:6610/PLTV/88888888/224/3221225886/index.m3u8?servicetype=1
精品大剧,http://39.135.55.105:6610/PLTV/88888888/224/3221225889/index.m3u8?servicetype=1
精品纪录,http://39.135.55.105:6610/PLTV/88888888/224/3221225888/index.m3u8?servicetype=1
金牌综艺,http://39.135.55.105:6610/PLTV/88888888/224/3221225884/index.m3u8?servicetype=1
动作电影,http://39.135.55.105:6610/PLTV/88888888/224/3221225879/index.m3u8?servicetype=1
惊悚悬疑,http://39.135.55.105:6610/PLTV/88888888/224/3221225885/index.m3u8?servicetype=1
爱情喜剧,http://39.135.55.105:6610/PLTV/88888888/224/3221225877/index.m3u8?servicetype=1
快乐垂钓,http://39.135.55.105:6610/PLTV/88888888/224/3221226940/index.m3u8?servicetype=1
金鹰纪实,http://39.135.55.105:6610/PLTV/88888888/224/3221226937/index.m3u8?servicetype=1
都市剧场,http://39.135.55.105:6610/PLTV/88888888/224/3221227204/index.m3u8?servicetype=1
动漫秀场,http://39.135.55.105:6610/PLTV/88888888/224/3221227071/index.m3u8?servicetype=1
极速汽车,http://39.135.55.105:6610/PLTV/88888888/224/3221227186/index.m3u8?servicetype=1
军事评论,http://39.134.65.166/PLTV/88888888/224/3221225535/1.m3u8
动作电影,http://39.134.65.164/PLTV/88888888/224/3221225555/1.m3u8
惊悚悬疑,http://39.134.65.166/PLTV/88888888/224/3221225553/1.m3u8
农业致富,http://39.134.65.166/PLTV/88888888/224/3221225552/1.m3u8
古装剧场,http://39.134.65.164/PLTV/88888888/224/3221225524/1.m3u8
热播精选,http://39.134.65.166/PLTV/88888888/224/3221225521/1.m3u8
军旅剧场,http://39.134.65.164/PLTV/88888888/224/3221225560/1.m3u8
超级电视剧,http://39.134.65.164/PLTV/88888888/224/3221225637/1.m3u8
精品大剧,http://39.134.65.166/PLTV/88888888/224/3221225536/1.m3u8
精品体育,http://39.134.65.166/PLTV/88888888/224/3221225526/1.m3u8
超级电影,http://39.134.65.164/PLTV/88888888/224/3221225644/1.m3u8
精品纪录,http://39.134.65.166/PLTV/88888888/224/3221225545/1.m3u8
金牌综艺,http://39.134.65.166/PLTV/88888888/224/3221225525/1.m3u8
潮妈辣婆,http://39.134.65.166/PLTV/88888888/224/3221225542/1.m3u8
超级体育,http://39.134.65.164/PLTV/88888888/224/3221225635/1.m3u8
武搏世界,http://39.134.65.166/PLTV/88888888/224/3221225547/1.m3u8
中国功夫,http://39.134.65.164/PLTV/88888888/224/3221225604/1.m3u8
爱情喜剧,http://39.134.65.166/PLTV/88888888/224/3221225533/1.m3u8
超级综艺,http://39.134.65.164/PLTV/88888888/224/3221225642/1.m3u8
精品综合,http://39.134.65.166/PLTV/88888888/224/3221225550/1.m3u8
爱情喜剧,http://111.40.196.25/PLTV/88888888/224/3221225616/index.m3u8
热播精选,http://111.40.196.25/PLTV/88888888/224/3221225624/index.m3u8
金牌综艺,http://111.40.196.25/PLTV/88888888/224/3221225650/index.m3u8
精品体育,http://111.40.196.30/PLTV/88888888/224/3221225608/index.m3u8
动作电影,http://111.40.196.30/PLTV/88888888/224/3221225620/index.m3u8
军旅剧场,http://111.40.196.30/PLTV/88888888/224/3221225622/index.m3u8
惊悚悬疑,http://111.40.196.30/PLTV/88888888/224/3221225638/index.m3u8
中国功夫,http://111.40.196.30/PLTV/88888888/224/3221225678/index.m3u8
古装剧场,http://111.40.196.36/PLTV/88888888/224/3221225618/index.m3u8
黑莓动画,http://111.40.196.36/PLTV/88888888/224/3221225628/index.m3u8
精品纪录,http://111.40.196.36/PLTV/88888888/224/3221225630/index.m3u8
明星大片,http://111.40.196.36/PLTV/88888888/224/3221225632/index.m3u8
潮妈辣婆,http://111.40.196.36/PLTV/88888888/224/3221225680/index.m3u8
求索科学,http://111.11.123.49:6610/000000001000/6000000002000032344/1.m3u8?
超级电影,http://39.137.49.76:8080/PLTV/88888888/224/3221225623/index.m3u8?
超级综艺,http://39.137.49.76:8080/PLTV/88888888/224/3221225620/index.m3u8?
超级电视剧,http://39.137.49.76:8080/PLTV/88888888/224/3221225625/index.m3u8?
武搏世界,http://39.137.49.76:8080/PLTV/88888888/224/3221225656/index.m3u8?
中国功夫,http://39.137.49.76:8080/PLTV/88888888/224/3221225660/index.m3u8?
军旅剧场,http://39.137.49.76:8080/PLTV/88888888/224/3221225669/index.m3u8?
农业致富,http://39.137.49.76:8080/PLTV/88888888/224/3221225670/index.m3u8?
古装剧场,http://39.137.49.76:8080/PLTV/88888888/224/3221225678/index.m3u8?
精品纪录,http://39.137.49.76:8080/PLTV/88888888/224/3221225710/index.m3u8?
潮妈辣婆,http://39.137.49.76:8080/PLTV/88888888/224/3221225708/index.m3u8?
热播精选,http://39.137.49.76:8080/PLTV/88888888/224/3221225712/index.m3u8?
精品大剧,http://39.137.49.76:8080/PLTV/88888888/224/3221225714/index.m3u8?
明星大片,http://39.137.49.76:8080/PLTV/88888888/224/3221225716/index.m3u8?
黑莓电影,http://39.137.49.76:8080/PLTV/88888888/224/3221225718/index.m3u8?
军事评论,http://39.137.49.76:8080/PLTV/88888888/224/3221225757/index.m3u8?
东北热剧,http://39.137.49.76:8080/PLTV/88888888/224/3221226202/index.m3u8?
欢乐剧场,http://39.137.49.76:8080/PLTV/88888888/224/3221226210/index.m3u8?
爱科幻,http://111.11.123.49:6610/000000001000/6000000006000020630/1.m3u8?
爱奇谈,http://111.11.123.49:6610/000000001000/6000000006000270630/1.m3u8?
爱猎奇,http://111.11.123.49:6610/000000001000/6000000006000190630/1.m3u8?
爱青春,http://111.11.123.49:6610/000000001000/6000000006000100630/1.m3u8?
爱谍战,http://111.11.123.49:6610/000000001000/6000000006000070630/1.m3u8?
爱科学,http://111.11.123.49:6610/000000001000/6000000006000160630/1.m3u8?
爱美食,http://111.11.123.49:6610/000000001000/6000000006000120630/1.m3u8?
爱浪漫,http://111.11.123.49:6610/000000001000/6000000006000040630/1.m3u8?
爱赛车,http://111.11.123.49:6610/000000001000/6000000006000240630/1.m3u8?
爱家庭,http://111.11.123.49:6610/000000001000/6000000006000090630/1.m3u8?
爱历史,http://111.11.123.49:6610/000000001000/6000000006000150630/1.m3u8?
爱怀旧,http://111.11.123.49:6610/000000001000/6000000006000260630/1.m3u8?
爱经典,http://111.11.123.49:6610/000000001000/6000000006000060630/1.m3u8?
春江集团,#genre#
春江水泥,https://m.baidu.com/video/page?pd=video_page&nid=15001591019538730477&sign=1150550899270119878&word=%E6%98%A5%E6%B1%9F%E9%9B%86%E5%9B%A2&oword=%E6%98%A5%E6%B1%9F%E9%9B%86%E5%9B%A2&atn=index&frsrcid=4295&ext=%7B%22jsy%22%3A1%7D&top=%7B%22sfhs%22%3A1%2C%22_hold%22%3A2%7D&sl=4&fr0=A&fr1=A&ms=1&lid=11135964973224249666&referlid=11135964973224249666&frorder=10&_t=1655197100668
