🌏｜央卫频道,#genre#
CCTV12,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=9
CCTV13,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=10
CCTV14,http://8.138.7.223/tv/gzjs.m3u8

凤凰资讯,video://http://www.66zhibow.com/4/fhzx.html
凤凰卫视中文台,video://http://www.66zhibow.com/4/fhzw.html
凤凰香港台,video://http://www.66zhibow.com/4/fhxg.html


北京卫视,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=11
浙江卫视,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=12
河南卫视,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=14
河南都市,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=13
河南民生,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=15
河南梨园,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=16
康巴卫视,video://https://www.kangbatv.com/zb_22587/
广东卫视,video://https://gdtv.cn/tvChannelDetail/43
江西卫视,video://https://www.jxntv.cn/live/#/
东方卫视,video://https://live.kankanews.com/huikan?id=1
山西卫视,video://https://www.sxrtv.com/tv/index.shtml
吉林卫视,video://https://www.jlntv.cn/tv?id=104
内蒙古卫视,video://https://www.nmtv.cn/liveTv
陕西卫视,video://http://www.sxtvs.com/sxtvs_sxws/index.html
新疆卫视,video://https://www.xjtvs.com.cn/column/tv/434?channelId=1
江苏卫视,video://https://live.jstv.com/?channelId=534
河北卫视,video://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=0
浙江卫视,video://https://www.cztv.com/liveTV/101
广西卫视,video://https://tv.gxtv.cn/channel/channelivePlay_e7a7ab7df9fe11e88bcfe41f13b60c62.html
黑龙江卫视,video://https://www.hljtv.com/live/folder418/
安徽卫视,video://https://www.ahtv.cn/folder9000/folder20193?channelIndex=0
贵州卫视,video://https://www.gzstv.com/tv/ch01
山西卫视,video://https://www.sxrtv.com/tv/index.shtml
吉林卫视,video://https://www.jlntv.cn/tv?id=104
海南卫视,video://http://tc.hnntv.cn/
甘肃卫视,video://https://www.gstv.com.cn/zxc.jhtml#
深圳卫视,video://https://www.sztv.com.cn/dianshi.shtml?id=7867
湖北卫视,video://https://news.hbtv.com.cn/app/tv/431
三沙卫视,video://https://www.hnntv.cn/live.html?playType=livePlay&channelId=5
东南卫视,video://https://live.fjtv.net/setv/
青海卫视,video://https://www.qhbtv.com/new_index/live/folder2646/
海峡卫视,video://https://www.fjtv.net/folder526/folder536/
江苏卫视,video://https://live.jstv.com/?channelId=534
云南卫视,video://https://www.yntv.cn/live.html
宁夏卫视,video://https://www.nxtv.com.cn/tv/ws/
魔都眼,video://https://live.kankanews.com/huikan?id=11
成都新闻综合,video://https://www.cditv.cn/show/4845-563.html
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws



🌏｜河南移动专区,#genre#
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226706/index.m3u8
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226306/index.m3u8
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226466/index.m3u8
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8
CCTV3,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226308/index.m3u8
